,PRODUCT_NAME,sentiment_service_positive_num,sentiment_service_neutral_num,sentiment_service_negative_num,sentiment_service_positive_percent,sentiment_service_neutral_percent,sentiment_service_negative_percent
0,Vitamin C Foaming Face Wash Combo Pack with Refill - 150ml + 150ml,1,0,0,100,0,0
1,Mamaearth ME Deo for a Scent Thatâ€™s Unique to You  - 120 ml,1,0,0,100,0,0
2,Hair Oil Booster - 30 ml | Rice,3,0,0,100,0,0
3, Aloe Vera Face Wash with Aloe Vera & Ashwagandha for a Youthful Glow - 100 ml,2,0,0,100,0,0
4,Naturally Matte Liquid Lipstick - 3 ml | Caramel Nude ,1,0,0,100,0,0
5,Aqua Glow Skin Refreshing Kit for Hydrated & Fresh Skin,1,0,0,100,0,0
6,Mamaearth Rose Tinted 100% Natural Lip Balm With Rose Oil and Castor Oil - 2 g,1,0,0,100,0,0
7,Apple Cider Vinegar Face Mask With Apple Cider Vinegar & Rosehip Oil for Clear and Glowing Skin â€“ 100 g,1,0,0,100,0,0
8,Agent Apple Body Wash for Kids with Apple and Oat Protein - 300 ml,1,0,0,100,0,0
9,Ubtan Foaming Face Wash with Turmeric and Saffron for Tan Removal - 150ml,2,0,0,100,0,0
10,Super Strawberry Body Wash for Kids with Strawberry and Oat Protein - 300 ml,1,0,0,100,0,0
11,Rice Hair Oil with Rice Bran and Coconut Oil For Damage Repair - 150ml,1,0,0,100,0,0
12,Vitamin C Body Wash with Vitamin C and Honey for Skin Illumination - 300ml,1,0,0,100,0,0
13,Tea Tree Hair Oil with Tea Tree and Ginger Oil for Dandruff Free Hair - 250ml,1,0,0,100,0,0
14,Argan Hair Oil with Argan Oil and Avocado Oil for Frizz-Free and Stronger Hair - 250 ml,1,0,0,100,0,0
15,Ubtan Night Face Mask with Turmeric and Niacinamide for Glowing Skin - 100 g,1,0,0,100,0,0
16,Essential Anti-Hair Fall Kit,2,0,0,100,0,0
17,Onion Shampoo and Onion Hair Serum Combo,1,0,0,100,0,0
18,Hair Fall Reduction Combo,0,0,1,0,0,100
19,Onion Shampoo for Hair Growth and Hair Fall Control (250 ml) - Pack Of 2,1,0,0,100,0,0
20,Vitamin C Foaming Face Wash with Vitamin C and Turmeric for Skin Illumination - 150ml,1,0,0,100,0,0
21,Anti-Hair Fall Spa Kit,8,0,1,88.88888889,0,11.11111111
22,Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination - 100 ml,1,0,0,100,0,0
23,BhringAmla Shampoo and Conditioner Combo,1,0,0,100,0,0
24,BhringAmla Shampoo with Bhringraj and Amla for Intense Hair Treatment - 250 ml,1,0,0,100,0,0
25,Tan Removal Regimen Kit,1,0,0,100,0,0
26,Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 100ml,4,0,0,100,0,0
27,Vitamin C Face Mask With Vitamin C and Kaolin Clay for Skin Illumination - 100 g,1,0,0,100,0,0
28,CoCo Face Scrub with Coffee and Cocoa for Rich Exfoliation - 100g,0,0,2,0,0,100
29,Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g,1,0,0,100,0,0
30,Argan Shampoo with Argan and Apple Cider Vinegar for Frizz-free and Stronger Hair - 250 ml,0,0,1,0,0,100
31,Moisturizing Bathing Bar (Pack of 2) and Gentle Cleansing Shampoo 200ml Combo,0,0,1,0,0,100
32,"Onion Hair Oil for Hair Regrowth and Hair Fall Control, 250ml",1,0,0,100,0,0
33,Aloe Vera Gel for Skin and Hair - 300ml,1,0,0,100,0,0
34,Bye Bye Dark Circles Eye Cream with Cucumber and Peptides for Dark Circles - 20ml,2,0,1,66.66666667,0,33.33333333
35,Onion Shampoo with Onion & Plant Keratin for Hair Fall Control - 400ml,1,0,0,100,0,0
36,"Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl, 150ml",2,0,0,100,0,0
37,"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric and SPF 50 PA+++ - 80ml",0,0,1,0,0,100
38,"Skin Lightening and Brightening Combo : Ubtan Facemask, 100ml and Ubtan Facewash, 100ml",1,0,0,100,0,0
39,Ubtan Face Mask with Saffron and Turmeric for Skin Brightening and Tan Removal - 100g,1,0,0,100,0,0
40,Ubtan Face Wash with Turmeric & Saffron for Tan Removal â€“ 100ml,3,0,0,100,0,0
41,"Charcoal Face Wash for oil control, 100ml",1,0,0,100,0,0
42,"Milky Soft Face Cream With Murumuru Butter for Babies, 60 ml",2,0,0,100,0,0
